,Artist_id,Duration,Popularity,Danceablility,Energy,Loudness,Speechiness,Acoustincness,Instrumentalness,Liveness,Valence,Tempo,Artist
290,0SDGEgp8DEGaudRPNxBttt,215189.5,27.6,0.603,0.7325,-4.9954,0.3056,0.092431,3.1100000000000003e-06,0.17365999999999998,0.4971,131.1433,J-Dawg
830,1J6iGa2TNBDCrJzjsnI1a8,237567.6,31.1,0.6765000000000001,0.7454,-5.7716,0.23498999999999998,0.14265999999999998,4.574e-05,0.33834,0.5575,137.29659999999998,Big Pokey
1080,1iFf7x4gbonfRVAvQ8Wsoh,282115.4,37.3,0.7671,0.5685,-7.8021,0.23627000000000004,0.070195,0.00012003,0.20076,0.518,123.2209,Fat Pat
1300,2AT9sg0RsOjLd4gfu08Pg6,255695.6,24.1,0.792,0.6689,-6.4475,0.2412,0.099821,0.0,0.22144,0.5522,112.3185,Lil' O
1700,36xkHMRleqc9rA5DxzqCZL,276716.9,17.7,0.7043999999999999,0.6744,-6.8352,0.22656,0.09974000000000001,0.00019479,0.14428000000000002,0.5968,111.48499999999999,Trae & Z-Ro
1760,3IbbhZMhvYcCTmqWNP3qA1,209963.5,23.1,0.7862,0.5829,-7.4285,0.29992,0.0441909,0.000136,0.16162,0.5948,137.23250000000002,Tum Tum
2380,4Yj490bi1KL0QpDnVOtHyr,222374.4,38.6,0.7621,0.6327,-6.4879999999999995,0.19111,0.180182,1.609e-06,0.22252999999999998,0.7047,116.13550000000001,Big Moe
2430,4kM4KKtWYB7GVtAfKxE7pO,261683.6,25.5,0.8141,0.6905,-8.088899999999999,0.2111,0.2487,9.7579e-05,0.1984,0.6999,128.245,Guerilla Maab
3200,6MrdwyCIKbpXmTKQBlG3uq,293364.6,45.7,0.7155,0.6907,-5.9128,0.22761,0.283796,3.1399999999999996e-06,0.23586000000000001,0.5319,101.0494,Z-Ro
3772,7JFXIgxfNfMRmMj8NPRFb9,259780.5,32.7,0.7135,0.7224999999999999,-5.8249,0.29833,0.06415,6.24e-05,0.24869,0.5727,128.95710000000003,Big Tuck
